id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_076	27	24	3.754454330	0.156435597	0	0	24	24	0.022456807	-0.001488644	480	477	0.993750000	24	23	0.958333333	477	445	0.932914046	477	0.325825645	-0.120068742	4423	4103	0.927650916
case_077	25	24	6.935604670	0.288983528	1	24	24	24	0.029940995	0.013125746	480	479	0.997916667	24	24	1.000000000	479	450	0.939457203	479	0.286913108	0.104111976	4479	4227	0.943737441
case_078	31	24	2.772983800	0.115540992	1	24	24	24	0.022917256	-0.008253349	480	479	0.997916667	24	24	1.000000000	479	448	0.935281837	479	0.329502963	0.107249555	4455	4123	0.925476992
case_079	25	26	20.013384919	0.769745574	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_080	19	39	68.864139828	1.765747175	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_081	19	24	7.747072653	0.322794694	1	24	24	24	0.074457376	0.021183350	480	477	0.993750000	24	24	1.000000000	477	449	0.941299790	477	0.266921183	0.092535023	4425	4158	0.939661017
case_082	21	24	4.800239234	0.200009968	1	24	24	24	0.018445059	-0.006010963	480	480	1.000000000	24	24	1.000000000	480	458	0.954166667	480	0.228923494	0.116284134	4502	4241	0.942025766
case_083	25	50	113.363416152	2.267268323	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_084	29	61	97.390518093	1.596565870	1	10	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_085	24	24	5.698419156	0.237434132	1	24	24	24	0.019395771	0.001675882	480	478	0.995833333	24	24	1.000000000	478	441	0.922594142	478	0.321020080	0.199330124	4446	4155	0.934547908
case_086	22	24	11.798648762	0.491610365	1	6	24	24	0.058871971	-0.001855818	480	479	0.997916667	24	21	0.875000000	479	453	0.945720251	479	0.256465480	0.106227460	4466	4251	0.951858486
case_087	18	24	4.244803951	0.176866831	1	24	24	24	0.024348753	-0.009542863	480	472	0.983333333	24	24	1.000000000	472	441	0.934322034	472	0.367087693	-0.213209183	4345	4059	0.934177215
case_088	19	33	16.340237905	0.495158724	1	11	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_089	19	24	3.361327921	0.140055330	1	2	24	24	0.040111229	-0.027996952	480	477	0.993750000	24	22	0.916666667	477	456	0.955974843	477	0.239767082	-0.064570728	4429	4250	0.959584556
case_090	23	24	7.327172502	0.305298854	1	18	24	24	0.054820549	-0.036443836	480	480	1.000000000	24	22	0.916666667	480	450	0.937500000	480	0.230899314	0.001284414	4488	4250	0.946969697
case_091	20	24	9.339422820	0.389142617	1	9	24	24	0.038647898	-0.003185283	480	479	0.997916667	24	21	0.875000000	479	454	0.947807933	479	0.252885745	0.110306500	4483	4304	0.960071381
case_092	21	29	43.776119067	1.509521347	1	22	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_093	24	24	6.260652710	0.260860530	1	24	24	24	0.029219821	0.011150531	480	478	0.995833333	24	24	1.000000000	478	465	0.972803347	478	0.238190105	-0.038726231	4460	4249	0.952690583
case_094	22	51	157.439334783	3.087045780	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_095	23	71	186.693164212	2.629481186	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_096	21	51	136.597217160	2.678376807	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_097	23	45	131.931701661	2.931815592	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_098	26	71	129.095357129	1.818244467	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_099	25	53	144.881611692	2.733615315	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
